Deposit Agent DT1 issued aDeposit of $442 at 12/02/2024 21:58:09 ET Transaction Number : 1

Deposit Agent DT3 issued aDeposit of $495 at 12/02/2024 21:58:09 ET Transaction Number : 3

	Withdrawal Agent WT4 issued aWithdrawal of $91 at 12/02/2024 21:58:10 ET Transaction Number : 22

	Withdrawal Agent WT2 issued aWithdrawal of $78 at 12/02/2024 21:58:10 ET Transaction Number : 23

	Withdrawal Agent WT5 issued aWithdrawal of $88 at 12/02/2024 21:58:10 ET Transaction Number : 24

	Withdrawal Agent WT7 issued aWithdrawal of $83 at 12/02/2024 21:58:10 ET Transaction Number : 26

	Withdrawal Agent WT2 issued aWithdrawal of $86 at 12/02/2024 21:58:10 ET Transaction Number : 35

	Withdrawal Agent WT3 issued aWithdrawal of $98 at 12/02/2024 21:58:10 ET Transaction Number : 36

	Withdrawal Agent WT8 issued aWithdrawal of $83 at 12/02/2024 21:58:11 ET Transaction Number : 45

Deposit Agent DT1 issued aDeposit of $481 at 12/02/2024 21:58:12 ET Transaction Number : 55

	Withdrawal Agent WT4 issued aWithdrawal of $82 at 12/02/2024 21:58:12 ET Transaction Number : 56

	Withdrawal Agent WT10 issued aWithdrawal of $95 at 12/02/2024 21:58:12 ET Transaction Number : 57

	Withdrawal Agent WT9 issued aWithdrawal of $80 at 12/02/2024 21:58:12 ET Transaction Number : 59

	Withdrawal Agent WT4 issued aWithdrawal of $78 at 12/02/2024 21:58:13 ET Transaction Number : 63

Deposit Agent DT4 issued aDeposit of $438 at 12/02/2024 21:58:14 ET Transaction Number : 73

	Withdrawal Agent WT4 issued aWithdrawal of $94 at 12/02/2024 21:58:14 ET Transaction Number : 77

	Withdrawal Agent WT8 issued aWithdrawal of $93 at 12/02/2024 21:58:14 ET Transaction Number : 80

	Withdrawal Agent WT3 issued aWithdrawal of $84 at 12/02/2024 21:58:14 ET Transaction Number : 91

Deposit Agent DT2 issued aDeposit of $420 at 12/02/2024 21:58:15 ET Transaction Number : 95

	Withdrawal Agent WT8 issued aWithdrawal of $89 at 12/02/2024 21:58:15 ET Transaction Number : 96

	Withdrawal Agent WT6 issued aWithdrawal of $78 at 12/02/2024 21:58:16 ET Transaction Number : 107

	Withdrawal Agent WT9 issued aWithdrawal of $92 at 12/02/2024 21:58:16 ET Transaction Number : 108

	Withdrawal Agent WT5 issued aWithdrawal of $97 at 12/02/2024 21:58:16 ET Transaction Number : 114

